Iteration,Layer,Index,Bit
0,layer3[1].conv2,349287,0
1,layer2[1].conv1,24517,3
2,layer3[0].conv1,148310,1
3,fc,3809,0
4,layer3[1].conv1,376436,4
5,layer4[0].conv2,1895348,1
6,layer1[1].conv1,23849,2
7,layer3[1].conv2,110202,0
8,layer2[0].conv2,18725,0
9,layer2[0].conv1,1843,1
10,layer4[0].conv1,639421,4
11,layer4[1].conv2,1925216,0
12,layer1[1].conv1,36700,0
13,layer1[1].conv2,29189,2
14,layer2[1].conv2,126182,2
15,layer3[1].conv2,22172,3
16,layer2[0].conv2,141658,3
17,layer1[1].conv1,34815,4
18,layer2[1].conv2,55202,1
19,layer4[1].conv1,945475,2
20,layer1[1].conv2,32426,0
21,layer1[0].conv2,14228,2
22,conv1,1394,3
23,layer1[0].conv2,1209,4
24,layer1[1].conv1,21188,0
25,layer4[1].conv1,1405625,3
26,layer4[1].conv1,2043274,3
27,layer2[1].conv2,142024,1
28,layer4[1].conv2,776249,3
29,layer3[1].conv1,161607,1
30,layer4[0].conv1,1163119,3
31,layer3[0].conv1,127110,4
32,layer3[0].conv2,216817,0
33,layer4[0].conv1,928,0
34,layer4[1].conv1,1029345,1
35,layer1[0].conv2,240,0
36,layer4[0].conv1,623625,4
37,layer3[1].conv2,176466,4
38,layer2[0].conv1,51739,4
39,layer1[1].conv1,15954,4
40,layer1[1].conv1,5957,2
41,layer4[0].conv1,296604,2
42,conv1,1430,3
43,layer4[0].conv1,749080,4
44,layer3[1].conv2,245890,2
45,layer3[1].conv2,26143,0
46,layer4[0].conv1,959097,4
47,layer3[0].conv2,165642,2
48,layer2[1].conv1,1209,2
49,layer4[0].conv2,1192574,2
50,layer4[0].conv2,1018912,0
51,layer4[1].conv2,327606,1
52,layer4[0].conv2,562137,1
53,layer3[0].conv2,84667,2
54,layer3[0].conv1,294507,0
55,layer2[1].conv2,134084,3
56,layer2[0].conv2,45677,3
57,conv1,1420,0
58,layer1[1].conv1,28397,1
59,conv1,776,0
60,layer4[0].conv1,3795,0
61,fc,715,1
62,layer2[1].conv1,26363,3
63,layer2[1].conv2,3320,4
64,layer4[0].conv2,2021652,2
65,layer3[0].conv2,281202,0
66,layer1[1].conv2,36821,2
67,layer4[0].conv2,1342111,2
68,layer3[0].conv2,273161,3
69,layer3[0].conv2,317721,3
70,layer1[0].conv2,3911,3
71,layer2[0].conv2,64868,4
72,layer3[1].conv2,110074,4
73,fc,564,4
74,layer2[0].conv1,10777,0
75,layer3[0].conv1,10431,2
76,layer3[1].conv1,270185,3
77,layer1[0].conv1,10138,1
78,layer3[0].conv1,87543,2
79,layer1[1].conv1,13491,2
80,layer1[1].conv1,21688,0
81,layer2[0].conv1,48278,0
82,layer1[1].conv2,15512,4
83,layer3[0].conv1,130012,3
84,layer4[0].conv2,1615874,1
85,layer4[1].conv2,1872826,4
86,conv1,183,1
87,layer3[1].conv1,124561,3
88,fc,2485,3
89,conv1,724,3
90,layer2[1].conv1,11343,0
91,layer4[0].conv1,762756,4
92,layer4[0].conv1,148904,0
93,layer2[1].conv2,140047,4
94,layer3[1].conv2,100139,0
95,fc,2859,4
96,layer2[0].conv1,38868,2
97,layer1[1].conv1,26411,4
98,layer1[0].conv2,11895,3
99,layer2[1].conv1,35890,3
100,layer1[0].conv1,8048,4
101,layer1[0].conv2,31671,2
102,layer1[0].conv2,19098,0
103,layer2[0].conv1,13697,1
104,layer2[0].conv1,16,2
105,layer1[0].conv1,20167,2
106,layer3[0].conv1,160893,2
107,layer4[1].conv2,1744280,3
108,layer3[1].conv1,369019,0
109,layer2[0].conv2,1334,4
110,layer1[0].conv1,30743,0
111,layer3[0].conv1,201270,2
112,layer1[0].conv1,24864,3
113,layer3[1].conv2,245129,0
114,layer3[1].conv1,578299,2
115,layer4[1].conv1,1089408,1
116,layer4[0].conv1,274478,3
117,layer3[0].conv1,292100,2
118,layer4[1].conv1,1176367,1
119,layer1[0].conv1,14631,4
120,layer4[0].conv2,318961,1
121,layer1[0].conv2,18739,0
122,layer3[0].conv2,200018,0
123,layer4[1].conv1,524479,0
124,layer4[1].conv2,88756,3
125,conv1,1540,4
126,layer3[0].conv2,126535,3
127,layer1[0].conv2,15417,2
128,layer3[1].conv2,132135,3
129,layer3[1].conv2,436886,4
130,layer4[0].conv1,1061884,4
131,layer4[0].conv1,978607,2
132,layer2[0].conv1,26810,3
133,layer2[1].conv1,99696,1
134,layer3[0].conv2,274597,3
135,layer3[0].conv1,219801,2
136,fc,2892,1
137,layer3[0].conv1,49644,2
138,conv1,638,2
139,layer2[0].conv1,34913,4
140,fc,263,4
141,layer1[0].conv2,5156,0
142,layer2[1].conv1,107176,0
143,layer4[1].conv2,860749,3
144,layer3[1].conv2,431584,3
145,layer1[0].conv2,21337,1
146,layer4[0].conv2,142715,1
147,layer1[0].conv1,24123,3
148,layer2[1].conv2,53823,3
149,layer1[0].conv1,32355,2
150,layer4[1].conv2,1497333,1
151,layer3[0].conv1,282818,2
152,layer3[1].conv2,492716,4
153,layer3[1].conv1,379222,1
154,layer3[1].conv2,278093,1
155,fc,1188,4
156,layer2[0].conv2,55393,2
157,layer1[0].conv2,29874,4
158,layer2[0].conv2,123198,4
159,layer4[0].conv2,474594,1
160,layer3[0].conv2,109480,2
161,conv1,1710,1
162,layer2[1].conv2,14222,2
163,layer2[0].conv2,139792,2
164,layer2[1].conv1,47911,4
165,layer4[0].conv1,556610,2
166,layer1[0].conv1,22887,1
167,layer1[0].conv2,33664,2
168,layer1[1].conv1,17467,0
169,layer3[1].conv1,425327,3
170,layer3[0].conv1,49107,2
171,layer2[0].conv1,56049,3
172,layer2[1].conv1,106050,0
173,layer1[0].conv1,25779,2
174,layer3[0].conv1,109099,2
175,fc,4078,1
176,layer3[1].conv1,500587,4
177,layer3[1].conv1,443499,4
178,conv1,1030,2
179,layer3[0].conv2,556345,1
180,layer1[1].conv1,3587,4
181,layer4[1].conv2,1216815,2
182,layer4[0].conv1,20931,4
183,layer4[0].conv1,272741,4
184,layer3[1].conv2,422740,2
185,layer1[0].conv2,18486,1
186,layer4[0].conv2,2218945,1
187,layer2[1].conv1,23909,1
188,layer1[1].conv2,8240,2
189,layer4[1].conv2,357010,1
190,layer2[1].conv2,33233,3
191,layer2[0].conv1,49742,4
192,layer3[0].conv1,86574,0
193,layer1[0].conv2,12451,3
194,layer4[1].conv1,372610,1
195,layer2[0].conv1,69935,3
196,layer2[1].conv2,24553,3
197,layer2[0].conv1,53818,4
198,layer1[1].conv2,35538,1
199,layer3[0].conv2,150056,2
200,layer3[0].conv2,434207,4
201,layer3[0].conv2,453067,2
202,layer3[1].conv1,175595,2
203,layer1[1].conv1,29658,0
204,layer1[0].conv1,22565,4
205,conv1,792,1
206,layer1[1].conv1,403,3
207,layer4[1].conv2,1496329,3
208,layer2[1].conv1,2767,3
209,layer3[1].conv1,56353,0
210,layer1[0].conv2,18540,2
211,layer4[1].conv2,974958,4
212,layer3[0].conv1,133705,2
213,layer3[0].conv1,199687,0
214,layer4[0].conv1,245999,4
215,layer1[1].conv2,9703,2
216,layer2[0].conv2,26918,0
217,layer3[1].conv2,560040,2
218,layer4[1].conv2,131702,3
219,layer1[0].conv1,25571,1
220,fc,4606,2
221,fc,3419,4
222,layer1[0].conv1,36454,0
223,layer4[1].conv2,2059083,0
224,layer2[0].conv1,37490,2
225,fc,2816,2
226,layer4[0].conv2,654204,3
227,layer4[1].conv2,445303,3
228,layer2[0].conv2,126457,4
229,layer1[1].conv1,35188,0
230,layer1[1].conv2,7887,3
231,layer2[0].conv2,101831,2
232,layer1[1].conv1,5068,1
233,layer2[0].conv2,64266,0
234,layer2[1].conv1,15642,0
235,layer4[1].conv1,1028515,4
236,layer2[0].conv1,24341,1
237,layer4[0].conv2,1292728,2
238,conv1,981,4
239,layer4[0].conv1,736101,4
240,layer1[0].conv2,8683,3
241,fc,4231,2
242,layer2[1].conv1,38595,4
243,layer3[0].conv2,399700,3
244,layer3[0].conv1,196937,2
245,layer4[1].conv1,221716,1
246,layer2[0].conv2,79356,2
247,layer1[0].conv1,19782,4
248,fc,3269,0
249,conv1,1262,2
250,layer4[0].conv2,32353,0
251,layer1[0].conv2,35013,2
252,layer3[0].conv1,97829,1
253,layer4[0].conv1,622288,2
254,layer4[1].conv2,1502137,2
255,layer4[0].conv1,97552,4
256,layer1[1].conv2,29045,3
257,fc,4643,4
258,layer4[0].conv2,828794,4
259,layer4[0].conv1,308026,4
260,layer1[1].conv2,16012,2
261,layer1[1].conv2,29611,3
262,layer2[0].conv2,99535,3
263,layer3[0].conv1,81590,3
264,layer2[0].conv2,23252,0
265,layer1[0].conv2,2118,0
266,layer2[1].conv2,130812,0
267,layer3[0].conv1,263642,2
268,conv1,1410,4
269,layer3[0].conv2,235838,3
270,layer4[1].conv2,1612478,4
271,layer2[1].conv2,110755,3
272,layer4[1].conv2,1355213,3
273,layer2[1].conv1,113573,1
274,layer3[0].conv2,410982,2
275,layer2[0].conv2,57219,0
276,layer3[1].conv1,427080,2
277,layer2[0].conv1,36441,4
278,layer3[0].conv1,44906,1
279,layer1[0].conv1,12962,4
280,layer3[1].conv2,125771,4
281,layer4[1].conv1,526555,0
282,fc,4512,4
283,layer3[1].conv2,488653,2
284,layer2[0].conv1,71245,0
285,layer1[1].conv2,20335,1
286,layer2[0].conv1,48158,4
287,layer2[0].conv1,8691,2
288,layer4[1].conv1,1570742,0
289,layer1[1].conv1,1587,1
290,layer3[1].conv1,440736,1
291,layer1[1].conv1,25261,3
292,layer4[1].conv2,1823822,1
293,layer2[0].conv2,89146,2
294,fc,1440,1
295,fc,4331,4
296,fc,716,4
297,layer3[0].conv1,24465,3
298,conv1,1474,1
