Iteration,Layer,Index,Bit
0,features[18],1593310,3
1,features[0],1459,0
2,classifier[3],4612725,1
3,classifier[3],2878013,2
4,features[18],175409,0
5,features[8],114502,2
6,features[0],1065,1
7,classifier[0],643532,1
8,features[11],371161,0
9,classifier[0],1147790,4
10,classifier[6],23305,1
11,features[25],768336,0
12,features[0],621,2
13,features[4],13973,4
14,features[4],255,0
15,features[25],390050,3
16,classifier[0],1328587,2
17,features[0],499,0
18,features[15],1133976,1
19,features[11],96803,1
20,features[8],164702,0
21,features[11],150907,4
22,features[15],974028,3
23,features[8],9357,0
24,features[15],151396,4
25,features[4],35435,3
26,features[11],173950,2
27,features[11],210439,0
28,features[11],544580,0
29,classifier[0],1121656,0
30,classifier[6],3604,3
31,features[15],644075,3
32,features[11],123799,1
33,features[4],18333,3
34,classifier[0],849104,1
35,features[25],2242644,4
36,classifier[3],6209800,0
37,classifier[3],12772643,2
38,features[11],362394,0
39,features[15],821996,2
40,features[15],21876,0
41,features[0],726,4
42,features[25],244872,4
43,features[22],1145726,4
44,features[8],143280,0
45,features[25],1561706,3
46,features[25],2023099,4
47,classifier[6],31114,0
48,classifier[3],7338960,1
49,features[25],1913907,2
50,classifier[3],11504485,4
51,features[4],51390,1
52,features[15],921208,4
53,features[22],1700950,1
54,features[11],181741,1
55,classifier[3],14500290,4
56,classifier[3],12252180,1
57,features[25],241938,2
58,classifier[0],857013,2
59,features[0],563,4
60,features[4],40238,3
61,classifier[6],11578,2
62,classifier[3],12437738,1
63,features[4],45293,3
64,classifier[0],1802897,0
65,features[11],37484,1
66,features[0],653,0
67,features[22],336989,1
68,classifier[0],1961022,3
69,features[22],1271279,4
70,features[18],540473,4
71,features[22],203716,0
72,features[15],91963,2
73,features[15],746996,0
74,features[25],653382,0
75,features[4],12269,4
76,classifier[3],6901297,2
77,features[8],86523,0
78,features[15],522443,0
79,features[22],2206261,3
80,features[4],70584,0
81,classifier[0],1159103,2
82,features[0],995,0
83,features[22],794914,4
84,classifier[0],1501007,0
85,features[25],1155462,3
86,classifier[3],3134927,2
87,features[25],1097237,1
88,features[11],46352,1
89,features[0],913,3
90,features[11],253928,3
91,features[0],165,0
92,classifier[0],697229,3
93,features[25],1101976,2
94,features[11],71354,4
95,classifier[3],5408333,0
96,features[18],830077,4
97,features[8],141265,4
98,classifier[0],428711,4
99,features[22],2016652,4
100,features[4],3601,0
101,features[18],1938903,2
102,features[4],35253,3
103,features[8],259008,4
104,classifier[0],542478,0
105,features[11],143270,2
106,features[25],1525123,2
107,features[0],1226,4
108,features[8],169046,4
109,classifier[0],186969,0
110,features[4],37107,4
111,features[25],866766,4
112,features[0],1470,3
113,classifier[3],8133896,0
114,features[11],350305,1
115,features[25],233577,0
116,features[15],1079062,0
117,classifier[0],272658,4
118,features[11],82104,3
119,features[11],563195,2
120,features[15],238502,3
121,features[4],48313,1
122,classifier[0],1606827,1
123,features[11],250971,3
124,features[0],431,1
125,features[15],727001,2
126,features[15],641048,3
127,features[25],22012,2
128,features[25],532264,2
129,features[25],2295532,4
130,features[22],1290539,0
131,features[11],448329,0
132,features[8],98290,3
133,classifier[0],1330142,1
134,classifier[0],715121,3
135,features[22],1025537,1
136,features[0],1537,3
137,features[11],20413,4
138,classifier[0],489856,2
139,classifier[0],1808373,4
140,classifier[0],2058731,3
141,features[15],880005,1
142,features[8],133674,3
143,features[11],103492,3
144,features[11],469527,0
145,features[11],402259,1
146,features[25],872427,2
147,features[4],30791,1
148,features[4],47000,3
149,features[11],82928,2
150,classifier[6],23560,3
151,classifier[6],12715,1
152,features[8],85372,2
153,features[25],1492680,1
154,features[11],154645,1
155,features[15],1084740,4
156,features[11],76849,1
157,classifier[6],5777,4
158,features[4],11906,3
159,features[11],533041,1
160,features[0],526,4
161,features[4],58163,0
162,classifier[6],8733,1
163,classifier[0],1152425,3
164,classifier[3],5418607,0
165,features[8],189429,4
166,classifier[3],6996748,3
167,classifier[6],32541,0
168,features[25],27654,2
169,features[15],1035821,0
170,features[4],33991,4
171,classifier[0],873610,3
172,features[0],1298,2
173,features[11],454946,0
174,classifier[0],1360026,0
175,features[0],243,0
176,classifier[6],32104,1
177,features[11],144744,0
178,classifier[6],9630,1
179,features[0],248,4
180,features[25],1144853,3
181,features[0],591,2
182,features[8],118290,0
183,features[11],30692,2
184,features[8],117130,1
185,features[25],1566825,1
186,features[18],940874,4
187,features[22],1623246,0
188,features[0],1082,0
189,classifier[0],1824989,4
190,features[4],60101,4
191,features[8],268368,3
192,features[25],51575,0
193,classifier[0],199248,4
194,features[0],1270,3
195,classifier[0],1699414,1
196,features[4],20733,3
197,classifier[0],720661,0
198,features[0],520,4
199,features[18],289282,4
200,features[25],939289,2
201,classifier[3],5456795,0
202,features[18],2313957,0
203,features[8],82136,2
204,classifier[6],22288,4
205,features[11],91204,0
206,features[15],284613,3
207,classifier[0],1018788,3
208,features[15],243394,1
209,classifier[0],1206603,4
210,features[18],353273,1
211,features[25],1597900,0
212,features[8],132724,2
213,features[4],1571,2
214,features[18],1237235,1
215,features[11],450851,0
216,features[4],71933,4
217,features[8],235170,3
218,classifier[0],555304,1
219,features[18],229473,1
